Resolver IP,Last Event Date,Attempted Rankings,Successful Rankings,Top 10 Count,Top 25 Count,Top 50 Count,Top 75 Count,Top 100 Count,Top 200 Count
4.2.2.1,2020-01-31,727902,525292,75604,137631,152617,67163,34913,57364
4.2.2.2,2020-01-31,727902,512611,74302,135618,149754,60923,33641,58373
4.2.2.3,2020-01-31,727902,549251,80188,144061,157864,69800,36310,61028
4.2.2.4,2020-01-31,727902,538682,78316,141305,152840,63376,36004,66841
4.2.2.5,2020-01-31,727902,560889,80952,147393,162480,70857,37067,62140
4.2.2.6,2020-01-31,727902,550906,79671,145661,156211,64497,36881,67985
4.17.179.2,2020-01-31,727902,18241,441,475,1020,961,1201,14143
8.2.208.1,2020-01-30,727902,39933,544,785,2685,3413,6333,26173
8.2.208.2,2020-01-31,727902,53880,539,996,3845,4659,7755,36086
8.5.244.5,2020-01-31,727902,84224,1290,4459,12032,14431,11193,40819
8.8.4.4,2020-01-31,727902,604975,207005,121260,107677,59277,40821,68935
8.8.8.8,2020-01-31,727902,605215,205507,126013,108500,57715,39967,67513
8.8.192.35,2020-01-31,727902,7377,296,431,569,805,1567,3709
8.8.192.36,2020-01-31,727902,7590,282,428,570,874,1669,3767
8.10.118.8,2020-01-31,727902,2766,216,355,406,341,325,1123
8.10.118.9,2020-01-30,727902,2784,192,337,420,355,290,1190
8.15.12.5,2020-01-31,727902,154175,3112,8836,20532,25073,19504,77118
12.10.245.202,2020-01-30,727902,2719,185,351,356,340,339,1148
12.17.136.131,2020-01-30,727902,6233,677,873,794,499,567,2823
12.25.93.2,2020-01-30,727902,8709,206,434,615,756,1021,5677
12.25.232.115,2020-01-31,727902,53452,500,1428,4701,8169,6661,31993
12.27.222.9,2020-01-31,727902,17962,318,692,1880,2209,2103,10760
12.27.240.3,2020-01-30,727902,9884,354,559,754,787,925,6505
12.32.34.32,2020-01-31,727902,11121,254,577,1532,2446,1303,5009
12.32.34.33,2020-01-31,727902,11045,273,580,1536,2397,1348,4911
12.68.121.131,2020-01-31,727902,2613,151,283,432,331,312,1104
12.68.121.133,2020-01-30,727902,2618,156,276,469,349,328,1040
12.96.51.35,2020-01-31,727902,2622,162,252,449,319,307,1133
12.106.80.10,2020-01-30,727902,11461,261,453,1282,1104,1354,7007
12.106.254.37,2020-01-31,727902,7382,196,394,1733,1691,675,2693
12.109.193.94,2020-01-31,727902,7253,170,365,689,614,680,4735
